index,Make,Model,Year,Trim,MSRP,Invoice Price,Body Size,Body Style
0,Aston Martin,DBX707,2024,Base,"$242,000",,Large,SUV
1,Audi,A3,2024,Premium w/40 TFSI,"$35,800","$33,653",Compact,Sedan
2,Audi,A3,2024,Premium w/40 TFSI,"$37,800","$35,533",Compact,Sedan
3,Audi,A3,2024,Premium Plus w/40 TFSI,"$41,400","$38,917",Compact,Sedan
4,Audi,A3,2024,Premium Plus w/40 TFSI,"$39,400","$37,037",Compact,Sedan
5,Audi,A4,2024,Premium w/40 TFSI,"$41,900","$39,386",Midsize,Sedan
6,Audi,A4,2024,Premium Plus w/40 TFSI,"$46,100","$43,335",Midsize,Sedan
7,Audi,A4,2024,Premium Plus S line w/45 TFSI,"$47,700","$44,839",Midsize,Sedan
8,Audi,A4,2024,Premium S line w/45 TFSI,"$44,100","$41,455",Midsize,Sedan
9,Audi,A4,2024,Prestige w/40 TFSI,"$51,300","$48,223",Midsize,Sedan
10,Audi,A4,2024,Prestige S line w/45 TFSI,"$52,000","$48,881",Midsize,Sedan
11,Audi,A4 allroad,2024,Premium w/45 TFSI,"$47,600","$44,744",Midsize,Wagon
17,Audi,A5,2024,Premium Plus S line w/45 TFSI,"$52,500","$49,351",Midsize,Coupe
18,Audi,A5,2024,Premium Plus S line w/45 TFSI,"$59,700","$56,119",Midsize,Convertible
19,Audi,A5,2024,Premium S line w/45 TFSI,"$48,400","$45,496",Midsize,Hatchback
20,Audi,A5,2024,Premium S line w/45 TFSI,"$48,400","$45,496",Midsize,Coupe
21,Audi,A5,2024,Premium S line w/45 TFSI,"$55,600","$52,264",Midsize,Convertible
22,Audi,A5,2024,Prestige w/40 TFSI,"$55,700","$52,359",Midsize,Hatchback
23,Audi,A5,2024,Prestige S line w/45 TFSI,"$56,950","$53,533",Midsize,Hatchback
24,Audi,A5,2024,Prestige S line w/45 TFSI,"$56,650","$53,251",Midsize,Coupe
25,Audi,A5,2024,Prestige S line w/45 TFSI,"$64,700","$60,818",Midsize,Convertible
26,Audi,A6,2024,Premium w/45 TFSI,"$58,100","$54,615",Large,Sedan
27,Audi,A6,2024,Premium w/55 TFSI,"$62,600","$58,845",Large,Sedan
28,Audi,A6,2024,Premium Plus w/45 TFSI,"$61,600","$57,905",Large,Sedan
29,Audi,A6,2024,Premium Plus w/55 TFSI,"$66,100","$62,135",Large,Sedan
30,Audi,A6,2024,Prestige w/55 TFSI,"$71,700","$67,399",Large,Sedan
31,Audi,A6 allroad,2024,Premium Plus w/55 TFSI,"$69,300","$65,143",Midsize,Wagon
32,Audi,A6 allroad,2024,Prestige w/55 TFSI,"$74,600","$70,126",Midsize,Wagon
33,Audi,A7,2024,Premium w/55 TFSI,"$72,000","$67,680",Large,Sedan
34,Audi,A7,2024,Premium Plus w/55 TFSI,"$76,750","$72,145",Large,Sedan
35,Audi,A7,2024,Prestige w/55 TFSI,"$80,550","$75,717",Large,Sedan
36,Audi,A8,2024,L w/55 TFSI,"$90,900","$85,447",Large,Sedan
37,Audi,Q3,2024,Premium w/40 TFSI,"$37,400","$35,157",Compact,SUV
38,Audi,Q3,2024,Premium Plus w/40 TFSI,"$40,200","$37,789",Compact,SUV
39,Audi,Q3,2024,Premium Plus S line w/45 TFSI,"$42,600","$40,045",Compact,SUV
40,Audi,Q3,2024,Premium S line w/45 TFSI,"$39,800","$37,413",Compact,SUV
41,Audi,Q4 Sportback e-tron,2024,"Premium w/50, Prod. End 11/23","$58,200","$54,709",Midsize,SUV
42,Audi,Q4 Sportback e-tron,2024,Premium w/55,"$58,200","$54,709",Midsize,SUV
43,Audi,Q4 Sportback e-tron,2024,"Premium Plus w/50, Prod. End 11/23","$62,900","$59,127",Midsize,SUV
44,Audi,Q4 Sportback e-tron,2024,Premium Plus w/55,"$62,900","$59,127",Midsize,SUV
45,Audi,Q4 Sportback e-tron,2024,"Prestige w/50, Prod. End 11/23","$65,200","$61,290",Midsize,SUV
46,Audi,Q4 Sportback e-tron,2024,Prestige w/55,"$65,200","$61,290",Midsize,SUV
47,Audi,Q4 e-tron,2024,Premium w/40,"$49,800","$46,813",Midsize,SUV
48,Audi,Q4 e-tron,2024,"Premium w/50, Prod. End 11/23","$55,200","$51,888",Midsize,SUV
49,Audi,Q4 e-tron,2024,Premium w/55,"$55,200","$51,888",Midsize,SUV
50,Audi,Q4 e-tron,2024,Premium Plus w/40,"$54,500","$51,231",Midsize,SUV
51,Audi,Q4 e-tron,2024,"Premium Plus w/50, Prod. End 11/23","$59,900","$56,306",Midsize,SUV
52,Audi,Q4 e-tron,2024,Premium Plus w/55,"$59,900","$56,306",Midsize,SUV
53,Audi,Q4 e-tron,2024,"Prestige w/50, Prod. End 11/23","$62,200","$58,469",Midsize,SUV
54,Audi,Q4 e-tron,2024,Prestige w/55,"$62,200","$58,469",Midsize,SUV
55,Audi,Q5,2024,Premium w/40 TFSI,"$45,300","$42,583",Midsize,SUV
56,Audi,Q5,2024,Premium Plus w/40 TFSI,"$50,100","$47,095",Midsize,SUV
57,Audi,Q5,2024,Premium Plus S line w/45 TFSI,"$53,000","$49,821",Midsize,SUV
58,Audi,Q5,2024,Premium Plus S line w/55 TFSI e,"$62,400","$58,657",Midsize,SUV
59,Audi,Q5,2024,Premium S line w/45 TFSI,"$48,200","$45,309",Midsize,SUV
60,Audi,Q5,2024,Premium S line w/55 TFSI e,"$58,500","$54,991",Midsize,SUV
61,Audi,Q5,2024,Prestige w/40 TFSI,"$55,600","$52,265",Midsize,SUV
62,Audi,Q5,2024,Prestige S line w/45 TFSI,"$58,100","$54,615",Midsize,SUV
63,Audi,Q5,2024,Prestige S line w/55 TFSI e,"$67,700","$63,639",Midsize,SUV
64,Audi,Q5 Sportback,2024,Premium Plus S line w/45 TFSI,"$55,400","$52,077",Midsize,SUV
65,Audi,Q5 Sportback,2024,Premium S line w/45 TFSI,"$52,200","$49,069",Midsize,SUV
66,Audi,Q5 Sportback,2024,Prestige S line w/45 TFSI,"$60,400","$56,778",Midsize,SUV
67,Audi,Q7,2024,Premium w/45 TFSI,"$59,500","$55,930",Large,SUV
68,Audi,Q7,2024,Premium w/55 TFSI,"$65,300","$61,383",Large,SUV
69,Audi,Q7,2024,Premium Plus w/45 TFSI,"$63,300","$59,503",Large,SUV
70,Audi,Q7,2024,Premium Plus w/55 TFSI,"$69,100","$64,956",Large,SUV
71,Audi,Q7,2024,Prestige w/55 TFSI,"$75,100","$70,596",Large,SUV
72,Audi,Q8,2024,Premium w/55 TFSI,"$73,700","$69,279",Large,SUV
73,Audi,Q8,2024,Premium Plus w/55 TFSI,"$77,800","$73,134",Large,SUV
74,Audi,Q8,2024,Prestige w/55 TFSI,"$81,800","$76,894",Large,SUV
75,Audi,Q8 Sportback e-tron,2024,Premium Plus S line,"$82,200","$77,269",Midsize,SUV
76,Audi,Q8 Sportback e-tron,2024,Premium S line,"$77,800","$73,133",Midsize,SUV
77,Audi,Q8 Sportback e-tron,2024,Prestige S line,"$88,200","$82,909",Midsize,SUV
78,Audi,Q8 e-tron,2024,Premium,"$74,400","$69,936",Midsize,SUV
